name,time/op (ns/op),±
StructSliceByNameGo2/Stable-BuiltinSort-SliceStable-Random-256,1.12000E+02,0%
StructSliceByNameGo2/Stable-TimSort-Go2-Xor-256,3.37600E+03,0%
StructSliceByNameGo2/Unstable-BuiltinSort-Sort-Xor-256,3.20000E+01,0%
StructSliceByNameGo2/Unstable-BuiltinSort-Slice-Xor-256,1.12000E+02,0%
StructSliceByNameGo2/Stable-BuiltinSort-Stable-Xor-256,3.20000E+01,0%
StructSliceByNameGo2/Stable-BuiltinSort-SliceStable-Xor-256,1.12000E+02,0%
StructSliceByNameGo2/Stable-TimSort-Go2-Random-4096,6.81120E+04,0%
StructSliceByNameGo2/Unstable-BuiltinSort-Sort-Random-4096,3.20000E+01,0%
StructSliceByNameGo2/Unstable-BuiltinSort-Slice-Random-4096,1.12000E+02,0%
StructSliceByNameGo2/Stable-BuiltinSort-Stable-Random-4096,3.20000E+01,0%
StructSliceByNameGo2/Stable-BuiltinSort-SliceStable-Random-4096,1.12000E+02,0%
StructSliceByNameGo2/Stable-TimSort-Go2-Xor-4096,3.12480E+04,0%
StructSliceByNameGo2/Unstable-BuiltinSort-Sort-Xor-4096,3.20000E+01,0%
StructSliceByNameGo2/Unstable-BuiltinSort-Slice-Xor-4096,1.12000E+02,0%
StructSliceByNameGo2/Stable-BuiltinSort-Stable-Xor-4096,3.20000E+01,0%
StructSliceByNameGo2/Stable-BuiltinSort-SliceStable-Xor-4096,1.12000E+02,0%
StructSliceByNameGo2/Stable-TimSort-Go2-Random-65536,1.14946E+06,0%
StructSliceByNameGo2/Unstable-BuiltinSort-Sort-Random-65536,3.20000E+01,0%
StructSliceByNameGo2/Unstable-BuiltinSort-Slice-Random-65536,1.12000E+02,0%
StructSliceByNameGo2/Stable-BuiltinSort-Stable-Random-65536,3.20000E+01,0%
StructSliceByNameGo2/Stable-BuiltinSort-SliceStable-Random-65536,1.12000E+02,0%
StructSliceByNameGo2/Stable-TimSort-Go2-Xor-65536,6.70224E+05,0%
StructSliceByNameGo2/Unstable-BuiltinSort-Sort-Xor-65536,3.20000E+01,0%
StructSliceByNameGo2/Unstable-BuiltinSort-Slice-Xor-65536,1.12000E+02,0%
StructSliceByNameGo2/Stable-BuiltinSort-Stable-Xor-65536,3.20000E+01,0%
StructSliceByNameGo2/Stable-BuiltinSort-SliceStable-Xor-65536,1.12000E+02,0%

name,allocs/op (allocs/op),±
IntsGo2/Dps-Go2-Random-256,0.00000E+00
IntsGo2/TimSort-Go2-Random-256,4.00000E+00,0%
IntsGo2/BuiltinSort-Sort-Random-256,1.00000E+00,0%
IntsGo2/BuiltinSort-Slice-Random-256,2.00000E+00,0%
IntsGo2/Dps-Go2-Xor-256,0.00000E+00
IntsGo2/TimSort-Go2-Xor-256,4.00000E+00,0%
IntsGo2/BuiltinSort-Sort-Xor-256,1.00000E+00,0%
IntsGo2/BuiltinSort-Slice-Xor-256,2.00000E+00,0%
IntsGo2/Dps-Go2-Random-4096,0.00000E+00
IntsGo2/TimSort-Go2-Random-4096,7.00000E+00,0%
IntsGo2/BuiltinSort-Sort-Random-4096,1.00000E+00,0%
IntsGo2/BuiltinSort-Slice-Random-4096,2.00000E+00,0%
IntsGo2/Dps-Go2-Xor-4096,0.00000E+00
IntsGo2/TimSort-Go2-Xor-4096,5.00000E+00,0%
IntsGo2/BuiltinSort-Sort-Xor-4096,1.00000E+00,0%
IntsGo2/BuiltinSort-Slice-Xor-4096,2.00000E+00,0%
IntsGo2/Dps-Go2-Random-65536,0.00000E+00
IntsGo2/TimSort-Go2-Random-65536,9.00000E+00,0%
IntsGo2/BuiltinSort-Sort-Random-65536,1.00000E+00,0%
IntsGo2/BuiltinSort-Slice-Random-65536,2.00000E+00,0%
IntsGo2/Dps-Go2-Xor-65536,0.00000E+00
IntsGo2/TimSort-Go2-Xor-65536,5.00000E+00,0%
IntsGo2/BuiltinSort-Sort-Xor-65536,1.00000E+00,0%
IntsGo2/BuiltinSort-Slice-Xor-65536,2.00000E+00,0%
StructSliceByNameGo2/Stable-TimSort-Go2-Random-256,4.00000E+00,0%
StructSliceByNameGo2/Unstable-BuiltinSort-Sort-Random-256,1.00000E+00,0%
StructSliceByNameGo2/Unstable-BuiltinSort-Slice-Random-256,3.00000E+00,0%
StructSliceByNameGo2/Stable-BuiltinSort-Stable-Random-256,1.00000E+00,0%
StructSliceByNameGo2/Stable-BuiltinSort-SliceStable-Random-256,3.00000E+00,0%
StructSliceByNameGo2/Stable-TimSort-Go2-Xor-256,4.00000E+00,0%
StructSliceByNameGo2/Unstable-BuiltinSort-Sort-Xor-256,1.00000E+00,0%
StructSliceByNameGo2/Unstable-BuiltinSort-Slice-Xor-256,3.00000E+00,0%
StructSliceByNameGo2/Stable-BuiltinSort-Stable-Xor-256,1.00000E+00,0%
StructSliceByNameGo2/Stable-BuiltinSort-SliceStable-Xor-256,3.00000E+00,0%
StructSliceByNameGo2/Stable-TimSort-Go2-Random-4096,6.00000E+00,0%
StructSliceByNameGo2/Unstable-BuiltinSort-Sort-Random-4096,1.00000E+00,0%
StructSliceByNameGo2/Unstable-BuiltinSort-Slice-Random-4096,3.00000E+00,0%
StructSliceByNameGo2/Stable-BuiltinSort-Stable-Random-4096,1.00000E+00,0%
StructSliceByNameGo2/Stable-BuiltinSort-SliceStable-Random-4096,3.00000E+00,0%
StructSliceByNameGo2/Stable-TimSort-Go2-Xor-4096,5.00000E+00,0%
StructSliceByNameGo2/Unstable-BuiltinSort-Sort-Xor-4096,1.00000E+00,0%
StructSliceByNameGo2/Unstable-BuiltinSort-Slice-Xor-4096,3.00000E+00,0%
StructSliceByNameGo2/Stable-BuiltinSort-Stable-Xor-4096,1.00000E+00,0%
StructSliceByNameGo2/Stable-BuiltinSort-SliceStable-Xor-4096,3.00000E+00,0%
StructSliceByNameGo2/Stable-TimSort-Go2-Random-65536,9.00000E+00,0%
StructSliceByNameGo2/Unstable-BuiltinSort-Sort-Random-65536,1.00000E+00,0%
StructSliceByNameGo2/Unstable-BuiltinSort-Slice-Random-65536,3.00000E+00,0%
StructSliceByNameGo2/Stable-BuiltinSort-Stable-Random-65536,1.00000E+00,0%
StructSliceByNameGo2/Stable-BuiltinSort-SliceStable-Random-65536,3.00000E+00,0%
StructSliceByNameGo2/Stable-TimSort-Go2-Xor-65536,8.00000E+00,0%
StructSliceByNameGo2/Unstable-BuiltinSort-Sort-Xor-65536,1.00000E+00,0%
StructSliceByNameGo2/Unstable-BuiltinSort-Slice-Xor-65536,3.00000E+00,0%
StructSliceByNameGo2/Stable-BuiltinSort-Stable-Xor-65536,1.00000E+00,0%
StructSliceByNameGo2/Stable-BuiltinSort-SliceStable-Xor-65536,3.00000E+00,0%
