name,time/op (ns/op),±
Ints/BuiltinSort-Sort-Xor-65536,1.03607E+07,5%
Ints/BuiltinSort-Stable-Xor-65536,8.87522E+06,2%
Ints/BuiltinSort-SpecializedInts-Xor-65536,3.13940E+06,1%
Ints/BuiltinSort-Slice-Xor-65536,9.05305E+06,3%
Ints/BuiltinSort-SliceStable-Xor-65536,7.59091E+06,1%
StructSliceByAge/Unstable-Dps-TypeAssertion-Random-256,6.71010E+04,4%
StructSliceByAge/Stable-TimSort-TypeAssertion-Random-256,7.03378E+04,5%
StructSliceByAge/Stable-TimSort-Interface-Random-256,3.16014E+04,2%
StructSliceByAge/Stable-TimSort-Slice-Random-256,5.42314E+04,4%
StructSliceByAge/Unstable-BuiltinSort-Sort-Random-256,2.97996E+04,2%
StructSliceByAge/Unstable-BuiltinSort-Slice-Random-256,5.47688E+04,2%
StructSliceByAge/Stable-BuiltinSort-Stable-Random-256,6.74670E+04,3%
StructSliceByAge/Stable-BuiltinSort-SliceStable-Random-256,1.71045E+05,3%
StructSliceByAge/Unstable-Dps-TypeAssertion-Xor-256,6.35540E+04,4%
StructSliceByAge/Stable-TimSort-TypeAssertion-Xor-256,6.27342E+04,5%
StructSliceByAge/Stable-TimSort-Interface-Xor-256,1.76566E+04,2%
StructSliceByAge/Stable-TimSort-Slice-Xor-256,2.63226E+04,1%
StructSliceByAge/Unstable-BuiltinSort-Sort-Xor-256,2.52350E+04,3%
StructSliceByAge/Unstable-BuiltinSort-Slice-Xor-256,4.85918E+04,3%
StructSliceByAge/Stable-BuiltinSort-Stable-Xor-256,4.53660E+04,2%
StructSliceByAge/Stable-BuiltinSort-SliceStable-Xor-256,1.13636E+05,4%
StructSliceByAge/Unstable-Dps-TypeAssertion-Random-1024,3.28782E+05,2%
StructSliceByAge/Stable-TimSort-TypeAssertion-Random-1024,3.78684E+05,2%
StructSliceByAge/Stable-TimSort-Interface-Random-1024,2.08749E+05,1%
StructSliceByAge/Stable-TimSort-Slice-Random-1024,2.85112E+05,1%
StructSliceByAge/Unstable-BuiltinSort-Sort-Random-1024,1.66745E+05,2%
StructSliceByAge/Unstable-BuiltinSort-Slice-Random-1024,2.55766E+05,2%
StructSliceByAge/Stable-BuiltinSort-Stable-Random-1024,4.49269E+05,2%
StructSliceByAge/Stable-BuiltinSort-SliceStable-Random-1024,1.05646E+06,1%
StructSliceByAge/Unstable-Dps-TypeAssertion-Xor-1024,2.67512E+05,2%
StructSliceByAge/Stable-TimSort-TypeAssertion-Xor-1024,2.27114E+05,1%
StructSliceByAge/Stable-TimSort-Interface-Xor-1024,6.08130E+04,5%
StructSliceByAge/Stable-TimSort-Slice-Xor-1024,9.17168E+04,2%
StructSliceByAge/Unstable-BuiltinSort-Sort-Xor-1024,1.28237E+05,0%
StructSliceByAge/Unstable-BuiltinSort-Slice-Xor-1024,2.15677E+05,1%
StructSliceByAge/Stable-BuiltinSort-Stable-Xor-1024,1.79755E+05,2%
StructSliceByAge/Stable-BuiltinSort-SliceStable-Xor-1024,5.17529E+05,2%
StructSliceByAge/Unstable-Dps-TypeAssertion-Random-4096,1.53793E+06,2%
StructSliceByAge/Stable-TimSort-TypeAssertion-Random-4096,1.70803E+06,2%
StructSliceByAge/Stable-TimSort-Interface-Random-4096,1.04624E+06,0%
StructSliceByAge/Stable-TimSort-Slice-Random-4096,1.37234E+06,3%
StructSliceByAge/Unstable-BuiltinSort-Sort-Random-4096,8.62786E+05,2%
StructSliceByAge/Unstable-BuiltinSort-Slice-Random-4096,1.28785E+06,2%
StructSliceByAge/Stable-BuiltinSort-Stable-Random-4096,2.48353E+06,1%
StructSliceByAge/Stable-BuiltinSort-SliceStable-Random-4096,6.00099E+06,1%
StructSliceByAge/Unstable-Dps-TypeAssertion-Xor-4096,1.29107E+06,2%
StructSliceByAge/Stable-TimSort-TypeAssertion-Xor-4096,9.40454E+05,1%
StructSliceByAge/Stable-TimSort-Interface-Xor-4096,2.34486E+05,2%
StructSliceByAge/Stable-TimSort-Slice-Xor-4096,3.42660E+05,0%
StructSliceByAge/Unstable-BuiltinSort-Sort-Xor-4096,6.29099E+05,1%
StructSliceByAge/Unstable-BuiltinSort-Slice-Xor-4096,9.97291E+05,3%
